"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@veramagalhaes Claro militar tem saúde propria, implica em nao pagar por plano ou usar o SUS. Ainda falam q nao tem privilégios.",FALSE,0,"veramagalhaes",2020-10-07 20:17:38,FALSE,"1313917520814968834","1313936544672215045","19667016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FRANCA_Ander5on",0,FALSE,FALSE,NA,NA
"2","RT @MarceloFreixo: O ministro da Saúde disse que ""nem sabia nem o que era o SUS"". Em plena pandemia que já matou quase 150 mil brasileiros,…",FALSE,0,NA,2020-10-07 20:17:38,FALSE,NA,"1313936542491082754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","outro_foco",153,TRUE,FALSE,NA,NA
"3","RT @SamPancher: “Eu não sabia nem o que era o SUS” - Ministro da Saúde Eduardo Pazuello https://t.co/RwN1SaQirm",FALSE,0,NA,2020-10-07 20:17:38,FALSE,NA,"1313936542168215554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joao10jv",514,TRUE,FALSE,NA,NA
"4","RT @erikakokay: URGENTE

Ministro da Saúde de Bolsonaro acaba de assumir que ""não sabia nem o que era o SUS"" antes da pandemia. A gente sab…",FALSE,0,NA,2020-10-07 20:17:34,FALSE,NA,"1313936528268242946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valeriapassarin",126,TRUE,FALSE,NA,NA
"5","RT @erikakokay: URGENTE

Ministro da Saúde de Bolsonaro acaba de assumir que ""não sabia nem o que era o SUS"" antes da pandemia. A gente sab…",FALSE,0,NA,2020-10-07 20:17:34,FALSE,NA,"1313936526003318784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Esperancar1",126,TRUE,FALSE,NA,NA
"6","RT @HaddadDebochado: “Eu não sabia nem o que era o SUS” - Eduardo Pazuello, Ministro da SAÚDE. https://t.co/20EUqvuGHF",FALSE,0,NA,2020-10-07 20:17:33,FALSE,NA,"1313936521846718465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gioneves27",5,TRUE,FALSE,NA,NA
"7","RT @PrSMalacheia: Vi algumas pessoas falando sobre o Ministro da saúde falar que não conhecia o SUS.
Vindo de um Governo onde o ministro da…",FALSE,0,NA,2020-10-07 20:17:32,FALSE,NA,"1313936518340382720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nelsonnacionali",2,TRUE,FALSE,NA,NA
"8","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:17:29,FALSE,NA,"1313936506323701765",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Davzao_",2373,TRUE,FALSE,NA,NA
"9","RT @MarceloFreixo: O ministro da Saúde disse que ""nem sabia nem o que era o SUS"". Em plena pandemia que já matou quase 150 mil brasileiros,…",FALSE,0,NA,2020-10-07 20:17:29,FALSE,NA,"1313936505526722572",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deutilt_daniel",153,TRUE,FALSE,NA,NA
"10","@rafaelmartelo Esses jornalistas se prestam a fazer pesquisas para bem informar? Acredito que não. Querem é polemiz… https://t.co/mWQ2Rvo4sT",FALSE,0,"rafaelmartelo",2020-10-07 20:17:28,TRUE,"1313932008477908994","1313936501986783234","107833278","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rangel_Lucia",0,FALSE,FALSE,NA,NA
